entry_id,label,entry_type,baseline_date_label,2001_2009,2010_2019,2020_cutoff,pilot_packet,regional_language_gaps,review_outcome,reviewed_through,next_action
saussure,Structural linguistics,Intellectual tradition,"Saussure’s Course, posthumous, 1916 · later linguistic programmes · coverage through 2000",not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
epistemology,Historical epistemology,Intellectual tradition,"Bachelard 1938 · Canguilhem 1943, expanded 1966 · coverage through 2000",not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
ranke,Critical historical scholarship,Intellectual tradition,Earlier philological roots · Ranke’s preface 1824 · later archival scholarship · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
karl,Historical materialism,Intellectual tradition,Marx’s preface 1859 · Capital I 1867 · later Marxists · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
durkheim,Social facts & collective life,Intellectual tradition,Division of Labour 1893 · Rules 1895 · Elementary Forms 1912 · later school · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
weber,Interpretive historical sociology,Intellectual tradition,Weber’s Protestant Ethic 1904–05 · later comparative inquiry · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
historicalecon,Historical economics,Intellectual tradition,Roscher’s programme 1843 · Schmoller’s methodological review 1883 · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
economictheory,Political economy & economic theory,Intellectual tradition,Smith 1776 · Ricardo 1817 · Mill 1848 · Marshall 1890 · later adaptations · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
geography,Geography & environmental inquiry,Intellectual tradition,1800s roots · Marsh 1864 · Vidal 1903 · Sauer 1925 · later inquiries · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
oldculture,Earlier cultural history,Intellectual tradition,Burckhardt’s Renaissance 1860 · Huizinga’s Autumn 1919 · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
lifetradition,Biographical & literary traditions,Genre,Ancient roots · Carlyle’s On Heroes 1841 · Strachey 1918 · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
wartradition,Strategic & military scholarship,Intellectual tradition,Earlier roots · Clausewitz’s On War 1832 · Delbrück’s volumes 1900–20 · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
anthropology,Anthropology & ethnography,Research field,1800s roots · Tylor 1871 · Boas 1896 · later revisions · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
nationaltradition,National & imperial narratives,Teaching umbrella,"1800s–1900s · nation-building, empire and counter-histories · coverage through 2000",not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
economic,Economic history,Research field,1800s roots · Economic History Society founded 1926 · multiple paradigms · coverage through 2000,not_researched,pilot_in_progress,pilot_in_progress,great-divergence,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
military,Military history,Research field,Earlier roots · Howard 1961 · Keegan 1976 · multiple paradigms · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
political,Political history,Research field,1800s roots · Namier 1929 · Hunt 1984 · multiple paradigms · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
biography,Biography / life writing,Genre,Ancient roots · Strachey 1918 · Davis 1995 · crosses fields · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
annales,Annales,School or movement,1929 onward · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
marx,Marxist social history,School or movement,Earlier roots · 1940s–60s expansion · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
black,Black history,Research field,1800s roots · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
anticolonial,Anti-colonial histories,Teaching umbrella,Earlier roots · 1930s–70s expansion · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
women,Women’s history,Research field,Nineteenth-century and interwar work; renewed expansion from the 1960s · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
modern,Modernization theory,Intellectual tradition,1950s–60s expansion · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
social,New social history,Research field,1950s–70s expansion · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
identity,Identity histories,Teaching umbrella,1960s–80s expansion · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
