field_id,selected_works,reference_occurrences,review_status,representation_status,production_ready
gender,2,0,partial,pending,false
disability,2,0,partial,pending,false
borderlands_history,2,86,partial,pending,false
digital_history,2,156,partial,pending,false
web_history,2,0,partial,pending,false
emotions,2,0,partial,pending,false
senses,2,10,partial,pending,false
knowledge,2,180,partial,pending,false
trans_history,2,0,partial,pending,false
childhood_youth,2,87,partial,pending,false
memory,2,0,partial,pending,false
transnational,2,0,partial,pending,false
